Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
25-34,5000-10000,Student,East Asian,Explorer,Once/month,71.52,Dinner,Both,Takeaway,2 people,3-7km,Indian/Pakistani,Mid-range,Deira,Very sensitive,Probably yes,Unfair,Very important,20%,Outdoor dining in pleasant weather,"Jan-Mar, Jul-Sep, Oct-Dec",4,"High delivery fees, Hard to find tables, Long wait times","Personalised discounts, Low-demand discounts, Group dining deals",High,1.19,,71.52,85.11,0.0,3.9,16.0,4,Yes
18-24,10001-20000,Student,South Asian,Explorer,Multiple/week,100.71,Dinner,Both,Dine-in,2 people,3-7km,Indian/Pakistani,Mid-range,Mall,Very sensitive,Definitely yes,Somewhat fair,Very important,>20%,Switch to delivery in heat,"Oct-Dec, Jan-Mar",5,Crowded restaurants,"Wait time estimate, Real-time pricing, Low-demand discounts, Group dining deals",High,1.17,96.4,100.71,117.83,0.0,,,5,Yes
18-24,5000-10000,Student,Arab,Loyal to 1-2,2-3/month,46.25,Lunch,Both,Delivery App,2 people,3-7km,Healthy/Vegan,Budget/Casual,Business Bay,Very sensitive,Definitely not,Neutral,Moderately important,10%,Switch to delivery in heat,"Apr-Jun, Jan-Mar, Oct-Dec",5,"Long delivery time, Limited discounts, Hard to find tables, Crowded restaurants","Loyalty rewards, Demand alerts, Real-time pricing",Medium,0.94,,46.25,43.47,6.0,5.7,35.0,5,No
35-44,5000-10000,Professional,South Asian,Few regulars,Once/week,59.69,Dinner,Both,Dine-in,2 people,3-7km,Fast Food,Mid-range,Deira,Moderately sensitive,Definitely yes,Neutral,Extremely important,10%,Switch to delivery in heat,"Oct-Dec, Jan-Mar",3,"Long wait times, Unpredictable pricing, Crowded restaurants, High delivery fees","Personalised discounts, Group dining deals",High,1.15,82.0,59.69,68.64,0.0,,,3,Yes
35-44,>35000,Student,South Asian,Loyal to 1-2,Once/week,435.66,Dinner,Weekends,Dine-in,2 people,3-7km,Indian/Pakistani,Premium/Fine Dining,Business Bay,Moderately sensitive,Probably yes,Unfair,Extremely important,15%,No impact,"Jul-Sep, Jan-Mar, Apr-Jun",2,Hard to find tables,Wait time estimate,High,1.3,90.6,435.66,566.36,0.0,,,2,Yes
25-34,10001-20000,Professional,South Asian,Explorer,Once/month,87.46,Dinner,Weekends,Restaurant App,Alone,3-7km,Indian/Pakistani,Mid-range,Mall,Slightly sensitive,Definitely yes,Somewhat fair,Not important,10%,Dine-in more during heat,Apr-Jun,5,"Long delivery time, High weekend prices, High delivery fees, Hard to find tables","Demand alerts, Loyalty rewards, Personalised discounts, Table availability",Medium,1.01,,87.46,88.33,0.0,3.2,22.0,5,Yes
25-34,5000-10000,Professional,African,Loyal to 1-2,Once/month,62.69,Breakfast,Weekdays,Delivery App,3-4 people,3-7km,Western,Budget/Casual,Mall,Moderately sensitive,Probably yes,Very fair,Very important,10%,No impact,"Oct-Dec, Jan-Mar, Apr-Jun",4,"High weekend prices, Unpredictable pricing, Long delivery time, Limited discounts",Loyalty rewards,Medium,0.92,,62.69,57.67,8.0,4.9,27.0,4,No
25-34,<5000,Professional,Arab,Loyal to 1-2,Once/month,52.93,Dinner,Weekends,Takeaway,3-4 people,<3km,Fast Food,Depends on occasion,Business Bay,Very sensitive,Probably yes,Neutral,Very important,20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec, Apr-Jun",3,Long delivery time,"Wait time estimate, Loyalty rewards, Personalised discounts",High,1.13,,52.93,59.81,0.0,1.0,18.0,3,Yes
18-24,<5000,Student,South Asian,Explorer,Once/week,40.1,Lunch,Both,Restaurant App,2 people,<3km,Indian/Pakistani,Mid-range,Mall,Very sensitive,Maybe,Unfair,Very important,15%,No impact,Apr-Jun,5,"Limited discounts, High delivery fees, Long wait times","Demand alerts, Table availability",Medium,1.08,,40.1,43.31,0.0,2.1,17.0,5,Yes
18-24,20001-35000,Professional,South Asian,Few regulars,Once/week,126.63,Late Night,Weekends,Dine-in,Alone,<3km,Fast Food,Depends on occasion,Marina,Very sensitive,Maybe,Somewhat fair,Very important,20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jan-Mar",4,"Crowded restaurants, Long delivery time, Long wait times",Real-time pricing,High,1.2,82.3,126.63,151.96,0.0,,,4,Yes
18-24,<5000,Student,East Asian,Explorer,Once/month,22.79,Late Night,Weekends,Delivery App,2 people,7-15km,Arabic,Budget/Casual,Business Bay,Moderately sensitive,Probably yes,Very fair,Very important,15%,Switch to delivery in heat,"Jul-Sep, Oct-Dec, Apr-Jun",1,High delivery fees,Low-demand discounts,High,1.1,,22.79,25.07,0.0,10.1,36.0,1,Yes
25-34,10001-20000,Tourist,African,Explorer,Once/week,130.4,Late Night,Both,Delivery App,3-4 people,3-7km,Fast Food,Mid-range,Mall,Slightly sensitive,Probably not,Unfair,Moderately important,20%,Dine-in more during heat,"Apr-Jun, Jan-Mar, Oct-Dec",3,Long wait times,"Real-time pricing, Group dining deals, Wait time estimate, Loyalty rewards",High,1.17,,130.4,152.57,0.0,5.8,32.0,3,Yes
18-24,<5000,Professional,Arab,Loyalty program user,Rarely,25.73,Lunch,Weekdays,Delivery App,2 people,3-7km,Arabic,Budget/Casual,Downtown,Slightly sensitive,Probably yes,Somewhat fair,Very important,>20%,Outdoor dining in pleasant weather,"Jul-Sep, Oct-Dec",3,"Limited discounts, High delivery fees","Wait time estimate, Real-time pricing",Medium,0.95,,25.73,24.44,5.0,5.7,18.0,3,Yes
18-24,5000-10000,Student,South Asian,Loyal to 1-2,Once/week,87.27,Dinner,Both,Delivery App,2 people,3-7km,Western,Depends on occasion,Mall,Slightly sensitive,Definitely yes,Somewhat fair,Very important,10%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",4,Long wait times,"Loyalty rewards, Table availability, Low-demand discounts",High,1.16,,87.27,101.23,0.0,4.8,36.0,4,Yes
25-34,20001-35000,Professional,South Asian,Few regulars,2-3/month,310.08,Dinner,Both,Delivery App,3-4 people,<3km,Fast Food,Premium/Fine Dining,Marina,Slightly sensitive,Definitely yes,Unfair,Slightly important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Apr-Jun",4,"High delivery fees, Limited discounts, Crowded restaurants","Loyalty rewards, Demand alerts, Personalised discounts",High,1.33,,310.08,412.41,0.0,2.2,20.0,4,No
25-34,20001-35000,Professional,East Asian,Loyal to 1-2,Once/month,193.44,Dinner,Weekdays,Delivery App,Alone,7-15km,Fast Food,Premium/Fine Dining,Marina,Moderately sensitive,Probably yes,Somewhat fair,Moderately important,20%,Dine-in more during heat,Oct-Dec,4,"Crowded restaurants, High delivery fees, High weekend prices",Group dining deals,Medium,1.08,,193.44,208.92,0.0,8.6,34.0,4,Yes
25-34,10001-20000,Professional,Western Expat,Few regulars,Once/week,91.26,Lunch,Weekends,Restaurant App,2 people,<3km,Western,Mid-range,Downtown,Moderately sensitive,Probably yes,Somewhat fair,Very important,15%,Outdoor dining in pleasant weather,Jan-Mar,3,"High weekend prices, High delivery fees","Table availability, Personalised discounts, Loyalty rewards, Wait time estimate",Medium,0.92,,91.26,83.96,8.0,2.5,25.0,3,Yes
25-34,10001-20000,Professional,South Asian,Loyalty program user,Once/week,87.86,Dinner,Both,Delivery App,2 people,<3km,Asian,Depends on occasion,Business Bay,Moderately sensitive,Definitely yes,Neutral,Extremely important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",4,"Crowded restaurants, Hard to find tables, Long delivery time, Limited discounts","Demand alerts, Real-time pricing",High,1.25,,87.86,109.82,0.0,2.4,14.0,4,Yes
25-34,10001-20000,Tourist,Western Expat,Explorer,Once/week,128.66,Lunch,Weekends,Restaurant App,Alone,3-7km,Western,Premium/Fine Dining,Deira,Moderately sensitive,Probably yes,Somewhat fair,Very important,15%,Dine-in more during heat,"Oct-Dec, Jan-Mar, Apr-Jun",4,"Limited discounts, Unpredictable pricing, Long delivery time","Group dining deals, Table availability, Real-time pricing",Medium,1.13,,128.66,145.39,0.0,3.7,26.0,4,Yes
18-24,5000-10000,Tourist,South Asian,Explorer,2-3/month,63.69,Late Night,Weekends,Takeaway,2 people,7-15km,Indian/Pakistani,Mid-range,Deira,Very sensitive,Probably yes,Unfair,Moderately important,15%,Switch to delivery in heat,Oct-Dec,5,"High weekend prices, Long wait times, Limited discounts, Unpredictable pricing",Low-demand discounts,High,1.25,,63.69,79.61,0.0,12.6,41.0,5,Yes
18-24,<5000,Student,Arab,Explorer,Rarely,30.66,Dinner,Weekends,Dine-in,Alone,3-7km,Indian/Pakistani,Mid-range,Deira,Very sensitive,Probably yes,Somewhat fair,Slightly important,20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun",5,"Limited discounts, Crowded restaurants, Hard to find tables, High weekend prices",Table availability,High,1.23,100.0,30.66,37.71,0.0,,,5,Yes
25-34,5000-10000,Tourist,East Asian,Explorer,2-3/month,75.79,Breakfast,Both,Takeaway,3-4 people,3-7km,Healthy/Vegan,Mid-range,JBR,Very sensitive,Definitely yes,Very fair,Slightly important,>20%,Dine-in more during heat,"Apr-Jun, Oct-Dec, Jul-Sep",5,"Long wait times, High delivery fees, High weekend prices","Table availability, Wait time estimate, Low-demand discounts",Medium,0.99,,75.79,75.03,1.0,5.3,24.0,5,Yes
18-24,<5000,Professional,East Asian,Few regulars,2-3/month,24.92,Dinner,Weekends,Delivery App,Alone,>15km,Asian,Budget/Casual,Deira,Very sensitive,Definitely yes,Somewhat fair,Extremely important,15%,Switch to delivery in heat,"Jan-Mar, Jul-Sep",2,"High delivery fees, Unpredictable pricing, Crowded restaurants, High weekend prices","Real-time pricing, Low-demand discounts, Personalised discounts, Table availability",High,1.17,,24.92,29.16,0.0,23.0,70.0,2,Yes
18-24,<5000,Professional,Arab,Loyal to 1-2,Once/month,54.52,Late Night,Both,Dine-in,3-4 people,7-15km,Arabic,Mid-range,Deira,Not sensitive,Probably not,Very fair,Not important,5%,Switch to delivery in heat,Oct-Dec,4,"Long wait times, Crowded restaurants, Unpredictable pricing","Loyalty rewards, Table availability",High,1.17,83.8,54.52,63.79,0.0,,,4,Yes
25-34,20001-35000,Professional,South Asian,Loyal to 1-2,2-3/month,241.99,Dinner,Both,Takeaway,2 people,<3km,Indian/Pakistani,Premium/Fine Dining,Business Bay,Not sensitive,Probably not,Very fair,Very important,15%,Switch to delivery in heat,Oct-Dec,4,Long delivery time,"Real-time pricing, Table availability, Wait time estimate",High,1.36,,241.99,329.11,0.0,2.1,13.0,4,Yes
18-24,5000-10000,Tourist,Arab,Loyal to 1-2,Multiple/week,75.12,Dinner,Weekends,Delivery App,5+,<3km,Western,Budget/Casual,Deira,Moderately sensitive,Maybe,Somewhat fair,Extremely important,>20%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Jan-Mar",4,"Limited discounts, High weekend prices","Personalised discounts, Table availability, Demand alerts, Wait time estimate",High,1.16,,75.12,87.14,0.0,2.4,17.0,4,Yes
25-34,5000-10000,Professional,East Asian,Loyal to 1-2,Once/week,58.08,Dinner,Both,Delivery App,2 people,7-15km,Fast Food,Mid-range,Deira,Moderately sensitive,Definitely yes,Very unfair,Extremely important,20%,Switch to delivery in heat,"Jul-Sep, Oct-Dec, Jan-Mar",3,High weekend prices,Wait time estimate,High,1.14,,58.08,66.21,0.0,9.9,38.0,3,Yes
25-34,5000-10000,Professional,South Asian,Loyalty program user,Once/week,94.74,Lunch,Weekends,Delivery App,3-4 people,<3km,Arabic,Depends on occasion,Deira,Very sensitive,Probably yes,Unfair,Very important,15%,Dine-in more during heat,"Jan-Mar, Oct-Dec",4,"Hard to find tables, Long wait times, Long delivery time, Limited discounts","Wait time estimate, Real-time pricing, Demand alerts",Medium,1.03,,94.74,97.58,0.0,2.2,21.0,4,Yes
25-34,<5000,Tourist,Arab,Explorer,Rarely,25.54,Lunch,Weekdays,Takeaway,2 people,7-15km,Arabic,Budget/Casual,Deira,Very sensitive,Maybe,Very unfair,Moderately important,>20%,Switch to delivery in heat,"Apr-Jun, Jan-Mar, Jul-Sep",4,"Long delivery time, Hard to find tables, Long wait times, High weekend prices","Group dining deals, Personalised discounts, Demand alerts, Wait time estimate",Medium,1.06,,25.54,27.07,0.0,9.4,36.0,4,Yes
25-34,10001-20000,Family,Western Expat,Loyal to 1-2,2-3/month,86.48,Dinner,Both,Delivery App,2 people,7-15km,Healthy/Vegan,Mid-range,JBR,Moderately sensitive,Definitely yes,Unfair,Slightly important,15%,Switch to delivery in heat,"Jul-Sep, Jan-Mar, Oct-Dec",3,"Crowded restaurants, Long delivery time","Wait time estimate, Personalised discounts, Low-demand discounts, Demand alerts",High,1.31,,86.48,113.29,0.0,12.2,30.0,3,No
35-44,20001-35000,Family,East Asian,Loyal to 1-2,Rarely,261.83,Breakfast,Both,Dine-in,2 people,7-15km,Asian,Premium/Fine Dining,Marina,Moderately sensitive,Definitely yes,Unfair,Moderately important,10%,No impact,"Jan-Mar, Jul-Sep",3,High weekend prices,Real-time pricing,Medium,1.1,59.1,261.83,288.01,0.0,,,3,Yes
35-44,20001-35000,Professional,Arab,Explorer,Once/week,192.76,Lunch,Weekends,Dine-in,Alone,<3km,Healthy/Vegan,Premium/Fine Dining,Marina,Slightly sensitive,Definitely not,Somewhat fair,Moderately important,15%,Outdoor dining in pleasant weather,Jan-Mar,1,Crowded restaurants,"Demand alerts, Low-demand discounts, Real-time pricing, Loyalty rewards",Medium,1.1,59.6,192.76,212.04,0.0,,,1,Yes
25-34,20001-35000,Professional,African,Few regulars,Rarely,150.26,Late Night,Both,Dine-in,2 people,7-15km,Fast Food,Mid-range,Marina,Not sensitive,Definitely not,Unfair,Not important,10%,Dine-in more during heat,"Oct-Dec, Jul-Sep",4,"Unpredictable pricing, Hard to find tables, Long wait times","Real-time pricing, Personalised discounts",High,1.19,70.5,150.26,178.81,0.0,,,4,No
25-34,10001-20000,Professional,Arab,Loyal to 1-2,Once/week,87.63,Late Night,Both,Delivery App,2 people,7-15km,Indian/Pakistani,Depends on occasion,DIFC,Slightly sensitive,Definitely not,Very fair,Moderately important,15%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun, Jul-Sep",3,"Unpredictable pricing, Hard to find tables","Wait time estimate, Loyalty rewards",High,1.19,,87.63,104.28,0.0,8.2,30.0,3,Yes
55+,>35000,Professional,Western Expat,Few regulars,Multiple/week,317.44,Lunch,Both,Dine-in,Alone,7-15km,Healthy/Vegan,Premium/Fine Dining,DIFC,Not sensitive,Maybe,Neutral,Not important,>20%,Outdoor dining in pleasant weather,Jan-Mar,3,High weekend prices,"Real-time pricing, Table availability, Wait time estimate",Medium,1.11,68.2,317.44,352.36,0.0,,,3,No
25-34,10001-20000,Family,South Asian,Loyalty program user,Multiple/week,70.79,Late Night,Weekdays,Delivery App,Alone,3-7km,Asian,Budget/Casual,JBR,Moderately sensitive,Probably yes,Unfair,Extremely important,15%,Dine-in more during heat,"Jan-Mar, Jul-Sep",5,"Long delivery time, High delivery fees, Hard to find tables, Long wait times",Loyalty rewards,Medium,0.96,,70.79,67.96,4.0,6.2,27.0,5,Yes
25-34,5000-10000,Professional,South Asian,Explorer,Multiple/week,72.05,Lunch,Both,Takeaway,3-4 people,<3km,Asian,Budget/Casual,Deira,Slightly sensitive,Definitely not,Unfair,Not important,5%,No impact,"Apr-Jun, Jul-Sep",5,"Crowded restaurants, High delivery fees, Limited discounts","Real-time pricing, Wait time estimate",Medium,1.01,,72.05,72.77,0.0,1.7,12.0,5,No
25-34,10001-20000,Family,South Asian,Explorer,Rarely,145.62,Lunch,Both,Takeaway,3-4 people,3-7km,Indian/Pakistani,Depends on occasion,Downtown,Moderately sensitive,Maybe,Very fair,Very important,15%,Switch to delivery in heat,Oct-Dec,5,"Unpredictable pricing, Hard to find tables","Real-time pricing, Low-demand discounts, Wait time estimate",Medium,0.93,,145.62,135.43,7.0,4.7,32.0,5,No
18-24,5000-10000,Student,Arab,Few regulars,Once/month,63.13,Late Night,Weekends,Takeaway,3-4 people,<3km,Indian/Pakistani,Budget/Casual,Downtown,Moderately sensitive,Definitely yes,Unfair,Slightly important,20%,Outdoor dining in pleasant weather,"Oct-Dec, Jul-Sep",3,"Hard to find tables, High delivery fees, Limited discounts, High weekend prices",Personalised discounts,High,1.12,,63.13,70.71,0.0,1.1,18.0,3,No
18-24,<5000,Student,African,Loyalty program user,Once/month,36.74,Dinner,Both,Takeaway,3-4 people,3-7km,Indian/Pakistani,Budget/Casual,Mall,Very sensitive,Probably yes,Very fair,Slightly important,15%,Switch to delivery in heat,"Oct-Dec, Jul-Sep",3,"Limited discounts, Unpredictable pricing, Long delivery time, Hard to find tables",Demand alerts,High,1.14,,36.74,41.88,0.0,5.7,34.0,3,Yes
25-34,10001-20000,Professional,South Asian,Few regulars,Once/week,147.1,Dinner,Both,Dine-in,5+,7-15km,Arabic,Mid-range,Deira,Moderately sensitive,Probably yes,Somewhat fair,Extremely important,15%,Switch to delivery in heat,Apr-Jun,3,"Long wait times, High delivery fees, Hard to find tables","Real-time pricing, Low-demand discounts, Demand alerts, Personalised discounts",Medium,1.06,75.3,147.1,155.93,0.0,,,3,Yes
18-24,<5000,Student,Western Expat,Explorer,2-3/month,41.55,Late Night,Weekends,Delivery App,2 people,7-15km,Arabic,Mid-range,Downtown,Very sensitive,Probably yes,Somewhat fair,Slightly important,15%,No impact,"Jul-Sep, Apr-Jun, Oct-Dec",3,Crowded restaurants,"Personalised discounts, Loyalty rewards, Group dining deals, Demand alerts",High,1.24,,41.55,51.52,0.0,14.9,50.0,3,Yes
25-34,5000-10000,Professional,South Asian,Few regulars,Multiple/week,66.89,Late Night,Weekdays,Restaurant App,3-4 people,7-15km,Healthy/Vegan,Budget/Casual,Business Bay,Slightly sensitive,Probably not,Somewhat fair,Slightly important,10%,Outdoor dining in pleasant weather,Jan-Mar,2,Hard to find tables,"Group dining deals, Table availability, Real-time pricing, Low-demand discounts",Medium,0.99,,66.89,66.22,1.0,12.9,45.0,2,Yes
18-24,5000-10000,Professional,Arab,Loyal to 1-2,Once/week,44.56,Late Night,Weekends,Dine-in,2 people,3-7km,Arabic,Budget/Casual,Business Bay,Very sensitive,Maybe,Unfair,Very important,20%,Switch to delivery in heat,"Jan-Mar, Jul-Sep, Oct-Dec",2,Long wait times,"Group dining deals, Real-time pricing, Wait time estimate",High,0.75,94.3,44.56,22.28,25.0,,,2,Yes
45-54,10001-20000,Tourist,South Asian,Explorer,Multiple/week,128.58,Dinner,Weekends,Delivery App,3-4 people,<3km,Indian/Pakistani,Mid-range,Mall,Moderately sensitive,Probably yes,Unfair,Moderately important,10%,Outdoor dining in pleasant weather,Jul-Sep,3,"Hard to find tables, Unpredictable pricing, High delivery fees","Real-time pricing, Loyalty rewards, Demand alerts",Medium,1.08,,128.58,138.87,0.0,2.8,21.0,3,Yes
25-34,10001-20000,Professional,South Asian,Few regulars,2-3/month,77.22,Breakfast,Both,Delivery App,3-4 people,3-7km,Healthy/Vegan,Budget/Casual,Downtown,Slightly sensitive,Maybe,Neutral,Slightly important,15%,Switch to delivery in heat,Jan-Mar,5,Limited discounts,Real-time pricing,Medium,0.85,,77.22,65.64,15.0,5.2,31.0,5,Yes
35-44,10001-20000,Family,East Asian,Loyal to 1-2,Multiple/week,130.02,Dinner,Weekends,Delivery App,Alone,3-7km,Asian,Premium/Fine Dining,Downtown,Moderately sensitive,Definitely yes,Unfair,Extremely important,20%,No impact,"Jan-Mar, Oct-Dec",3,Long wait times,"Table availability, Personalised discounts, Group dining deals",High,1.31,,130.02,170.33,0.0,6.4,31.0,3,No
55+,<5000,Tourist,South Asian,Explorer,Once/week,41.17,Breakfast,Weekends,Dine-in,2 people,<3km,Indian/Pakistani,Depends on occasion,Mall,Not sensitive,Definitely not,Very unfair,Slightly important,15%,Switch to delivery in heat,"Oct-Dec, Jul-Sep",4,"Long wait times, High weekend prices, Limited discounts","Table availability, Demand alerts, Wait time estimate, Low-demand discounts",Medium,1.0,54.1,41.17,41.17,0.0,,,4,No
25-34,20001-35000,Tourist,Arab,Explorer,Once/month,109.74,Late Night,Both,Dine-in,2 people,3-7km,Indian/Pakistani,Budget/Casual,Downtown,Not sensitive,Maybe,Unfair,Slightly important,20%,Outdoor dining in pleasant weather,Jan-Mar,3,Crowded restaurants,Low-demand discounts,High,1.08,52.1,109.74,118.52,0.0,,,3,No
18-24,<5000,Tourist,South Asian,Explorer,Rarely,55.0,Late Night,Both,Delivery App,3-4 people,7-15km,Asian,Depends on occasion,Deira,Very sensitive,Probably yes,Very unfair,Extremely important,>20%,Switch to delivery in heat,"Jul-Sep, Oct-Dec",5,"Long delivery time, High delivery fees, Long wait times","Real-time pricing, Group dining deals, Demand alerts",High,1.3,,55.0,71.5,0.0,14.0,54.0,5,No
35-44,<5000,Tourist,East Asian,Loyalty program user,Once/month,35.75,Lunch,Weekends,Dine-in,Alone,<3km,Asian,Mid-range,Deira,Very sensitive,Maybe,Very unfair,Moderately important,15%,Dine-in more during heat,Jan-Mar,5,"Long wait times, High weekend prices","Loyalty rewards, Wait time estimate, Personalised discounts",Medium,1.0,58.9,35.75,35.75,0.0,,,5,Yes
45-54,>35000,Professional,Arab,Loyalty program user,Multiple/week,211.61,Dinner,Weekends,Dine-in,2 people,3-7km,Western,Depends on occasion,DIFC,Not sensitive,Maybe,Unfair,Slightly important,15%,Dine-in more during heat,Jan-Mar,5,"Unpredictable pricing, Crowded restaurants, Long wait times, Limited discounts","Low-demand discounts, Loyalty rewards",High,1.13,100.0,211.61,239.12,0.0,,,5,Yes
18-24,5000-10000,Student,South Asian,Loyalty program user,Multiple/week,88.31,Dinner,Weekends,Delivery App,2 people,<3km,Asian,Mid-range,Mall,Very sensitive,Maybe,Very fair,Moderately important,15%,Dine-in more during heat,"Oct-Dec, Apr-Jun",5,Limited discounts,"Group dining deals, Demand alerts, Loyalty rewards",High,1.24,,88.31,109.5,0.0,2.4,23.0,5,Yes
25-34,>35000,Tourist,South Asian,Few regulars,Multiple/week,132.65,Breakfast,Weekends,Delivery App,2 people,3-7km,Western,Mid-range,Marina,Slightly sensitive,Definitely not,Unfair,Not important,10%,No impact,Jan-Mar,4,"Unpredictable pricing, Hard to find tables, Limited discounts","Real-time pricing, Loyalty rewards, Low-demand discounts, Wait time estimate",Medium,0.98,,132.65,130.0,2.0,6.3,22.0,4,No
